gsis_id,gamekey,start_time,week,day_of_week,season_year,season_type,finished,home_team,home_score,home_score_q1,home_score_q2,home_score_q3,home_score_q4,home_score_q5,home_turnovers,away_team,away_score,away_score_q1,away_score_q2,away_score_q3,away_score_q4,away_score_q5,away_turnovers,time_inserted,time_updated
2011100901,55230,2011-10-09 13:00:00-04,5,Sunday,2011,Regular,t,HOU,20,7,7,3,3,0,0,OAK,25,3,9,3,10,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2015122006,56713,2015-12-20 13:00:00-05,15,Sunday,2015,Regular,t,BAL,14,7,7,0,0,0,2,KC,34,14,10,0,10,0,3,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
2015122007,56720,2015-12-20 13:00:00-05,15,Sunday,2015,Regular,t,WAS,35,7,14,7,7,0,1,BUF,25,0,0,17,8,0,0,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
2015122008,56722,2015-12-20 16:05:00-05,15,Sunday,2015,Regular,t,SEA,30,7,13,0,10,0,3,CLE,13,7,3,0,3,0,1,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
2011100902,55231,2011-10-09 13:00:00-04,5,Sunday,2011,Regular,t,IND,24,7,17,0,0,0,0,KC,28,0,14,7,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2015122009,56721,2015-12-20 16:05:00-05,15,Sunday,2015,Regular,t,OAK,20,0,13,7,0,0,0,GB,30,14,0,10,6,0,0,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
2011100904,55234,2011-10-09 13:00:00-04,5,Sunday,2011,Regular,t,NYG,25,7,7,0,11,0,2,SEA,36,14,0,2,20,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2015122010,56723,2015-12-20 16:25:00-05,15,Sunday,2015,Regular,t,PIT,34,7,6,7,14,0,2,DEN,27,14,13,0,0,0,0,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
2015122011,56724,2015-12-20 16:25:00-05,15,Sunday,2015,Regular,t,SD,30,6,17,0,7,0,0,MIA,14,0,0,7,7,0,1,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
2015122012,56725,2015-12-20 16:25:00-05,15,Sunday,2015,Regular,t,SF,14,0,0,7,7,0,0,CIN,24,0,21,3,0,0,1,2015-05-22 17:54:43.143038-04,2015-12-26 13:45:54.276093-05
